Time,Channel B
(ms),(V)

2.87259761,-0.00137333
2.87515761,-0.00137333
2.87771761,0.04272591
2.88027761,-0.00137333
2.88283761,-0.00137333
2.88539761,-0.00137333
2.88795761,0.04272591
2.89051761,-0.00137333
2.89307761,-0.00137333
2.89563761,-0.00137333
2.89819761,-0.00137333
2.90075761,-0.00137333
2.90331761,-0.00137333
2.90587761,-0.00137333
2.90843761,-0.00137333
2.91099761,-0.00137333
2.91355761,-0.00137333
2.91611761,-0.00137333
2.91867761,-0.00137333
2.92123761,-0.00137333
2.92379761,-0.00137333
2.92635761,-0.00137333
2.92891761,-0.00137333
2.93147761,-0.00137333
2.93403761,-0.00137333
2.93659761,-0.00137333
2.93915761,-0.00137333
2.94171761,-0.00137333
2.94427761,-0.00137333
2.94683761,-0.00137333
2.94939761,-0.00137333
2.95195761,-0.00137333
2.95451761,-0.00137333
2.95707761,-0.00137333
2.95963761,-0.00137333
2.96219761,-0.00137333
2.96475761,-0.00137333
2.96731761,-0.00137333
2.96987761,-0.00137333
2.97243761,-0.00137333
2.97499761,-0.00137333
2.97755761,-0.00137333
2.98011761,-0.00137333
2.98267761,-0.00137333
2.98523761,-0.00137333
2.98779761,-0.00137333
2.99035761,-0.00137333
2.99291761,-0.00137333
2.99547761,0.04272591
2.99803761,-0.00137333
3.00059761,-0.00137333
3.00315761,-0.00137333
3.00571761,-0.00137333
3.00827761,-0.00137333
3.01083761,-0.00137333
3.01339761,-0.00137333
3.01595761,-0.00137333
3.01851761,-0.00137333
3.02107761,-0.00137333
3.02363761,-0.00137333
3.02619761,0.04272591
3.02875761,-0.00137333
3.03131761,-0.00137333
3.03387761,-0.00137333
3.03643761,0.04272591
3.03899761,-0.00137333
3.04155761,-0.00137333
3.04411761,-0.00137333
3.04667761,-0.00137333
3.04923761,-0.00137333
3.05179761,-0.00137333
3.05435761,-0.00137333
3.05691761,0.04272591
3.05947761,-0.00137333
3.06203761,-0.00137333
3.06459761,0.04272591
3.06715761,-0.00137333
3.06971761,-0.00137333
3.07227761,-0.00137333
3.07483761,-0.00137333
3.07739761,-0.00137333
3.07995760,-0.00137333
3.08251760,-0.00137333
3.08507760,-0.00137333
3.08763760,-0.00137333
3.09019760,-0.00137333
3.09275760,-0.00137333
3.09531760,-0.00137333
3.09787760,-0.00137333
3.10043760,0.04272591
3.10299760,-0.00137333
3.10555760,-0.00137333
3.10811760,-0.00137333
3.11067760,-0.00137333
3.11323760,-0.00137333
3.11579760,-0.00137333
3.11835760,-0.00137333
3.12091760,-0.00137333
3.12347760,-0.00137333
3.12603760,-0.00137333
3.12859760,-0.00137333
3.13115760,-0.00137333
3.13371760,-0.00137333
3.13627760,-0.00137333
3.13883760,-0.00137333
3.14139760,-0.00137333
3.14395760,-0.00137333
3.14651760,-0.00137333
3.14907760,-0.00137333
3.15163760,-0.00137333
3.15419760,-0.00137333
3.15675760,-0.00137333
3.15931760,-0.00137333
3.16187760,-0.00137333
3.16443760,-0.00137333
3.16699760,-0.00137333
3.16955760,-0.00137333
3.17211760,-0.00137333
3.17467760,0.04272591
