t (s)	U1(V)
"0,078800"	"0,517659"
"0,078900"	"0,517659"
"0,079000"	"0,517659"
"0,079100"	"0,517659"
"0,079200"	"0,517659"
"0,079300"	"0,517659"
"0,079400"	"0,517659"
"0,079500"	"0,517659"
"0,079600"	"0,512430"
"0,079700"	"0,512430"
"0,079800"	"0,512430"
"0,079900"	"0,512430"
"0,080000"	"0,512430"
"0,080100"	"0,512430"
"0,080200"	"0,512430"
"0,080300"	"0,512430"
"0,080400"	"0,512430"
"0,080500"	"0,512430"
"0,080600"	"0,512430"
"0,080700"	"0,512430"
"0,080800"	"0,507201"
"0,080900"	"0,512430"
"0,081000"	"0,512430"
"0,081100"	"0,512430"
"0,081200"	"0,512430"
"0,081300"	"0,512430"
"0,081400"	"0,507201"
"0,081500"	"0,507201"
"0,081600"	"0,507201"
"0,081700"	"0,507201"
"0,081800"	"0,507201"
"0,081900"	"0,507201"
"0,082000"	"0,507201"
"0,082100"	"0,507201"
"0,082200"	"0,507201"
"0,082300"	"0,501973"
"0,082400"	"0,501973"
"0,082500"	"0,507201"
"0,082600"	"0,501973"
"0,082700"	"0,501973"
"0,082800"	"0,501973"
"0,082900"	"0,507201"
"0,083000"	"0,501973"
"0,083100"	"0,501973"
"0,083200"	"0,496744"
"0,083300"	"0,501973"
"0,083400"	"0,496744"
"0,083500"	"0,501973"
"0,083600"	"0,496744"
"0,083700"	"0,501973"
"0,083800"	"0,501973"
"0,083900"	"0,496744"
"0,084000"	"0,501973"
"0,084100"	"0,496744"
"0,084200"	"0,496744"
"0,084300"	"0,496744"
"0,084400"	"0,496744"
"0,084500"	"0,491515"
"0,084600"	"0,496744"
"0,084700"	"0,496744"
"0,084800"	"0,496744"
"0,084900"	"0,491515"
"0,085000"	"0,491515"
"0,085100"	"0,491515"
"0,085200"	"0,491515"
"0,085300"	"0,491515"
"0,085400"	"0,491515"
"0,085500"	"0,491515"
"0,085600"	"0,491515"
"0,085700"	"0,491515"
"0,085800"	"0,486286"
"0,085900"	"0,486286"
"0,086000"	"0,486286"
"0,086100"	"0,486286"
"0,086200"	"0,486286"
"0,086300"	"0,486286"
"0,086400"	"0,486286"
"0,086500"	"0,486286"
"0,086600"	"0,486286"
"0,086700"	"0,481057"
"0,086800"	"0,481057"
"0,086900"	"0,481057"
"0,087000"	"0,481057"
"0,087100"	"0,481057"
"0,087200"	"0,481057"
